1 1 20220902
2 1 20220902
3 1 20220902
4 1 20220902
5 2 20220902
6 2 20220902
7 2 20220902
8 2 20220902
9 1 20220903
10 1 20220903
11 1 20220903
12 1 20220903
13 2 20220903
14 2 20220903
15 2 20220903
16 2 20220903
17 1 20220904
18 1 20220904
19 1 20220904
20 1 20220904
21 2 20220904
22 2 20220904
23 2 20220904
24 2 20220904
25 1 20220908
26 1 20220908
27 1 20220908
28 1 20220908
29 2 20220908
30 2 20220908
31 2 20220908
32 2 20220908
33 1 20220909
34 1 20220909
35 1 20220909
36 1 20220909
37 2 20220909
38 2 20220909
39 2 20220909
40 1 20220910
41 1 20220910
42 1 20220910
43 1 20220910
44 2 20220910
45 2 20220910
46 2 20220910
47 2 20220910
48 1 20220911
49 1 20220911
50 1 20220911
51 1 20220911
52 2 20220911
53 2 20220911
54 2 20220911
55 2 20220911
